type,type2,cross,mom,dad,min1seed,n.seeds
WS,CC,CC,C03,C94,1,2
WS,CC,CC,C06,C12,0,0
WS,CC,CC,C08,C103,0,0
WS,CC,CC,C08,C103,0,0
WS,CC,CC,C102,C12,1,1
WS,CC,CC,C102,C83,1,1
WS,CC,CC,C103,C102,1,4
WS,CC,CC,C103,C46,1,2
WS,CC,CC,C106,C82,0,0
WS,CC,CC,C107,C12,1,2
WS,CC,CC,C107,C87,1,3
WS,CC,CC,C110,C76,1,4
WS,CC,CC,C111,C103,1,4
WS,CC,CC,C111,C76,1,2
WS,CC,CC,C111,C93,1,2
WS,CC,CC,C12,C102,0,0
WS,CC,CC,C28,C71,1,1
WS,CC,CC,C34,C107,1,2
WS,CC,CC,C43,C12,1,4
WS,CC,CC,C46,C33,1,4
WS,CC,CC,C69,C102,0,0
WS,CC,CC,C69,C103,1,2
WS,CC,CC,C70,C102,0,0
WS,CC,CC,C70,C102,0,0
WS,CC,CC,C70,C93,1,4
WS,CC,CC,C76,C103,1,4
WS,CC,CC,C76,C105,0,0
WS,CC,CC,C82,C102,0,0
WS,CC,CC,C82,C103,0,0
WS,CC,CC,C93,C111,1,1
WS,CC,CC,C94,C46,1,3
WS,CC,CC,C95,C87,0,0
WS,CC,CC,L75cor,C102,1,4
BC,BCC,CF1,C03,CL4,0,0
BC,BCC,CF1,C102,C90L341,0,0
BC,BCC,CF1,C102,C93L153,0,0
BC,BCC,CF1,C103,C93L153,1,1
BC,BCC,CF1,C103,C93L153,1,2
BC,BCC,CF1,C103,CL2,1,2
BC,BCC,CF1,C103,CL2,1,4
BC,BCC,CF1,C103,CL4,0,0
BC,BCC,CF1,C103,CL4,0,0
BC,BCC,CF1,C105,C93L153,1,1
BC,BCC,CF1,C110,CL4,0,0
BC,BCC,CF1,C111,C93L153,1,3
BC,BCC,CF1,C22,C14L952,0,0
BC,BCC,CF1,C23,CL5,1,1
BC,BCC,CF1,C28,CL2,0,0
BC,BCC,CF1,C33,C14L951,0,0
BC,BCC,CF1,C44,C14L951,0,0
BC,BCC,CF1,C46,C93L151,0,0
BC,BCC,CF1,C46,CL4,0,0
BC,BCC,CF1,C62,C14L951,1,1
BC,BCC,CF1,C70,C90L341,0,0
BC,BCC,CF1,C70,C90L341,0,0
BC,BCC,CF1,C71,CL7,0,0
BC,BCC,CF1,C76,CL2,1,2
BC,BCC,CF1,C79,C93L1531,0,0
BC,BCC,CF1,C81,CL2,1,1
BC,BCC,CF1,C83,CL2,0,0
BC,BCC,CF1,C84,C93L152,0,0
BC,BCC,CF1,C87,CL4,0,0
BC,BCC,CF1,C87,CL5,0,0
BC,BCC,CF1,C88,C93L153,0,0
BC,BCC,CF1,C92,CL4,0,0
BC,BCC,CF1,C94,C14L952,1,3
BC,BCC,CF1,L75cor,CL2,1,1
BS,BS,CL,C03,L117,0,0
BS,BS,CL,C08,L112,0,0
BS,BS,CL,C08,L127,0,0
BS,BS,CL,C102,L133,0,0
BS,BS,CL,C102,L28,0,0
BS,BS,CL,C103,L120,0,0
BS,BS,CL,C103,L28,0,0
BS,BS,CL,C106,L135,0,0
BS,BS,CL,C107,L135,0,0
BS,BS,CL,C107,L145,0,0
BS,BS,CL,C111,L105,0,0
BS,BS,CL,C111,L115,0,0
BS,BS,CL,C111,L28,0,0
BS,BS,CL,C12,L138,0,0
BS,BS,CL,C12,L28,0,0
BS,BS,CL,C22,L120,0,0
BS,BS,CL,C33,L135,0,0
BS,BS,CL,C36,L105,0,0
BS,BS,CL,C38,L145,0,0
BS,BS,CL,C38,L145,0,0
BS,BS,CL,C44,L28,0,0
BS,BS,CL,C46,L117,0,0
BS,BS,CL,C46,L146,0,0
BS,BS,CL,C71,L28,0,0
BS,BS,CL,C71,L28,0,0
BS,BS,CL,C76,L126,0,0
BS,BS,CL,C76,L28,0,0
BS,BS,CL,C79,L28,0,0
BS,BS,CL,C81,L135,0,0
BS,BS,CL,C84,L28,0,0
BS,BS,CL,C88,L125,0,0
BS,BS,CL,C92,L115,0,0
BS,BS,CL,C92,L28,0,0
BS,BS,CL,C95,L120,0,0
BS,BS,CL,C99,L135,0,0
BS,BS,CL,L116,C103,0,0
