numeric.date,crosser,group,focal.plant,focal.type,mom,mom.loc,mom.type,dad,dad.loc,dad.type,cross.ind,cross.loc,cross.type,w.capsule,n.seeds,seed1,seed2,seed3,seed4,r.cross.type,mom.geo,mom.sp,dad.geo,dad.sp,mom.pop,dad.pop,r.geo,r.sp,min1seed,minfert,intraspecific
42993,Irene,35,100SL,SL,14AC,AUS,AC,100SL,CCR,SL,100xx14,AUSxxCCR,ACxxSL,0,0,NA,NA,NA,NA,ACxSL,A,C,S,L,AUS.C,CCR.L,AxS,CxL,FALSE,FALSE,FALSE
43012,Kate,35,100SL,SL,14AC,AUS,AC,100SL,CCR,SL,100xx14,AUSxxCCR,ACxxSL,0,0,NA,NA,NA,NA,ACxSL,A,C,S,L,AUS.C,CCR.L,AxS,CxL,FALSE,FALSE,FALSE
43014,Kate,35,100SL,SL,14AC,AUS,AC,100SL,CCR,SL,100xx14,AUSxxCCR,ACxxSL,0,0,NA,NA,NA,NA,ACxSL,A,C,S,L,AUS.C,CCR.L,AxS,CxL,FALSE,FALSE,FALSE
43025,Kate,35,100SL,SL,14AC,AUS,AC,100SL,CCR,SL,100xx14,AUSxxCCR,ACxxSL,0,0,NA,NA,NA,NA,ACxSL,A,C,S,L,AUS.C,CCR.L,AxS,CxL,FALSE,FALSE,FALSE
43025,Kate,35,100SL,SL,14AC,AUS,AC,100SL,CCR,SL,100xx14,AUSxxCCR,ACxxSL,0,0,NA,NA,NA,NA,ACxSL,A,C,S,L,AUS.C,CCR.L,AxS,CxL,FALSE,FALSE,FALSE
42985,Kate,35,100SL,SL,100SL,CCR,SL,117SL,POL,SL,100xx117,CCRxxPOL,SLxxSL,0.8,0,NA,NA,NA,NA,SLxSL,S,L,S,L,CCR.L,POL.L,SxS,LxL,FALSE,TRUE,TRUE
42986,Kate,35,100SL,SL,100SL,CCR,SL,117SL,POL,SL,100xx117,CCRxxPOL,SLxxSL,0,0,NA,NA,NA,NA,SLxSL,S,L,S,L,CCR.L,POL.L,SxS,LxL,FALSE,FALSE,TRUE
42988,Kate,35,100SL,SL,100SL,CCR,SL,14AC,AUS,AC,100xx14,AUSxxCCR,ACxxSL,0,0,NA,NA,NA,NA,SLxAC,S,L,A,C,CCR.L,AUS.C,SxA,LxC,FALSE,FALSE,FALSE
42990,Kate,35,100SL,SL,100SL,CCR,SL,14AC,AUS,AC,100xx14,AUSxxCCR,ACxxSL,0,0,NA,NA,NA,NA,SLxAC,S,L,A,C,CCR.L,AUS.C,SxA,LxC,FALSE,FALSE,FALSE
42990,Kate,35,100SL,SL,100SL,CCR,SL,14AC,AUS,AC,100xx14,AUSxxCCR,ACxxSL,0,0,NA,NA,NA,NA,SLxAC,S,L,A,C,CCR.L,AUS.C,SxA,LxC,FALSE,FALSE,FALSE
42995,Irene,35,100SL,SL,100SL,CCR,SL,14AC,AUS,AC,100xx14,AUSxxCCR,ACxxSL,0,0,NA,NA,NA,NA,SLxAC,S,L,A,C,CCR.L,AUS.C,SxA,LxC,FALSE,FALSE,FALSE
42997,Irene,35,100SL,SL,100SL,CCR,SL,14AC,AUS,AC,100xx14,AUSxxCCR,ACxxSL,0,0,NA,NA,NA,NA,SLxAC,S,L,A,C,CCR.L,AUS.C,SxA,LxC,FALSE,FALSE,FALSE
43010,Kate,35,100SL,SL,100SL,CCR,SL,14AC,AUS,AC,100xx14,AUSxxCCR,ACxxSL,0,0,NA,NA,NA,NA,SLxAC,S,L,A,C,CCR.L,AUS.C,SxA,LxC,FALSE,FALSE,FALSE
43010,Kate,35,100SL,SL,100SL,CCR,SL,14AC,AUS,AC,100xx14,AUSxxCCR,ACxxSL,0,0,NA,NA,NA,NA,SLxAC,S,L,A,C,CCR.L,AUS.C,SxA,LxC,FALSE,FALSE,FALSE
42986,Kate,35,100SL,SL,100SL,CCR,SL,37AL,KS,AL,100xx37,CCRxxKS,ALxxSL,0,0,NA,NA,NA,NA,SLxAL,S,L,A,L,CCR.L,KS.L,SxA,LxL,FALSE,FALSE,TRUE
42986,Kate,35,100SL,SL,100SL,CCR,SL,37AL,KS,AL,100xx37,CCRxxKS,ALxxSL,0,0,NA,NA,NA,NA,SLxAL,S,L,A,L,CCR.L,KS.L,SxA,LxL,FALSE,FALSE,TRUE
43006,Kate,35,100SL,SL,100SL,CCR,SL,99SC,Site1,SC,100xx99,CCRxxSite1,SCxxSL,0,0,NA,NA,NA,NA,SLxSC,S,L,S,C,CCR.L,Site1.C,SxS,LxC,FALSE,FALSE,FALSE
43008,Kate,35,100SL,SL,100SL,CCR,SL,99SC,Site1,SC,100xx99,CCRxxSite1,SCxxSL,0,0,NA,NA,NA,NA,SLxSC,S,L,S,C,CCR.L,Site1.C,SxS,LxC,FALSE,FALSE,FALSE
43008,Kate,35,100SL,SL,100SL,CCR,SL,99SC,Site1,SC,100xx99,CCRxxSite1,SCxxSL,0,0,NA,NA,NA,NA,SLxSC,S,L,S,C,CCR.L,Site1.C,SxS,LxC,FALSE,FALSE,FALSE
43009,Kate,35,100SL,SL,100SL,CCR,SL,99SC,Site1,SC,100xx99,CCRxxSite1,SCxxSL,0,0,NA,NA,NA,NA,SLxSC,S,L,S,C,CCR.L,Site1.C,SxS,LxC,FALSE,FALSE,FALSE
43009,Kate,35,100SL,SL,100SL,CCR,SL,99SC,Site1,SC,100xx99,CCRxxSite1,SCxxSL,0,0,NA,NA,NA,NA,SLxSC,S,L,S,C,CCR.L,Site1.C,SxS,LxC,FALSE,FALSE,FALSE
42993,Irene,35,100SL,SL,100SL,CCR,SL,99SC,Site1,SC,100xx99,CCRxxSite1,SCxxSL,46.2,1,39.6,0,0,0,SLxSC,S,L,S,C,CCR.L,Site1.C,SxS,LxC,TRUE,TRUE,FALSE
43002,Kate,35,100SL,SL,100SL,CCR,SL,37AL,KS,AL,100xx37,CCRxxKS,ALxxSL,120.4,4,28.9,27.9,27.2,27.6,SLxAL,S,L,A,L,CCR.L,KS.L,SxA,LxL,TRUE,TRUE,TRUE
43006,Kate,35,100SL,SL,100SL,CCR,SL,37AL,KS,AL,100xx37,CCRxxKS,ALxxSL,125.3,4,28.8,28.8,30.6,28.8,SLxAL,S,L,A,L,CCR.L,KS.L,SxA,LxL,TRUE,TRUE,TRUE
43000,Kate,35,100SL,SL,100SL,CCR,SL,117SL,POL,SL,100xx117,CCRxxPOL,SLxxSL,96.3,3,28.7,29.1,29.3,0,SLxSL,S,L,S,L,CCR.L,POL.L,SxS,LxL,TRUE,TRUE,TRUE
43006,Kate,35,100SL,SL,100SL,CCR,SL,37AL,KS,AL,100xx37,CCRxxKS,ALxxSL,113.2,4,26.8,25.1,26.9,24.9,SLxAL,S,L,A,L,CCR.L,KS.L,SxA,LxL,TRUE,TRUE,TRUE
42985,Kate,35,100SL,SL,100SL,CCR,SL,117SL,POL,SL,100xx117,CCRxxPOL,SLxxSL,114.3,4,26.4,25.4,27.4,25.4,SLxSL,S,L,S,L,CCR.L,POL.L,SxS,LxL,TRUE,TRUE,TRUE
43004,Kate,35,100SL,SL,100SL,CCR,SL,37AL,KS,AL,100xx37,CCRxxKS,ALxxSL,109.9,4,25.8,25.5,26.1,24.6,SLxAL,S,L,A,L,CCR.L,KS.L,SxA,LxL,TRUE,TRUE,TRUE
43000,Kate,35,100SL,SL,100SL,CCR,SL,117SL,POL,SL,100xx117,CCRxxPOL,SLxxSL,97,4,19.5,24.6,25,19.5,SLxSL,S,L,S,L,CCR.L,POL.L,SxS,LxL,TRUE,TRUE,TRUE
42991,Kate,35,100SL,SL,100SL,CCR,SL,117SL,POL,SL,100xx117,CCRxxPOL,SLxxSL,18.1,1,13.2,0.5,0.6,0.6,SLxSL,S,L,S,L,CCR.L,POL.L,SxS,LxL,TRUE,TRUE,TRUE
42987,Kate,35,100SL,SL,37AL,KS,AL,100SL,CCR,SL,100xx37,CCRxxKS,ALxxSL,71.2,2,32,31.5,0,0,ALxSL,A,L,S,L,KS.L,CCR.L,AxS,LxL,TRUE,TRUE,TRUE
42985,Kate,35,100SL,SL,37AL,KS,AL,100SL,CCR,SL,100xx37,CCRxxKS,ALxxSL,101.8,3,31.6,29.3,33.2,0,ALxSL,A,L,S,L,KS.L,CCR.L,AxS,LxL,TRUE,TRUE,TRUE
42987,Kate,35,100SL,SL,37AL,KS,AL,100SL,CCR,SL,100xx37,CCRxxKS,ALxxSL,70,2,30.5,31.5,0,0,ALxSL,A,L,S,L,KS.L,CCR.L,AxS,LxL,TRUE,TRUE,TRUE
42985,Kate,35,100SL,SL,37AL,KS,AL,100SL,CCR,SL,100xx37,CCRxxKS,ALxxSL,53.1,2,21.7,24.6,0.7,0.7,ALxSL,A,L,S,L,KS.L,CCR.L,AxS,LxL,TRUE,TRUE,TRUE
43005,Kate,35,100SL,SL,37AL,KS,AL,100SL,CCR,SL,100xx37,CCRxxKS,ALxxSL,41,2,19.1,17.5,1.3,0.6,ALxSL,A,L,S,L,KS.L,CCR.L,AxS,LxL,TRUE,TRUE,TRUE
42987,Kate,35,100SL,SL,117SL,POL,SL,100SL,CCR,SL,100xx117,CCRxxPOL,SLxxSL,47.5,1,40.1,0,0,0,SLxSL,S,L,S,L,POL.L,CCR.L,SxS,LxL,TRUE,TRUE,TRUE
42987,Kate,35,100SL,SL,117SL,POL,SL,100SL,CCR,SL,100xx117,CCRxxPOL,SLxxSL,42.8,1,36.4,0,0,0,SLxSL,S,L,S,L,POL.L,CCR.L,SxS,LxL,TRUE,TRUE,TRUE
42985,Kate,35,100SL,SL,117SL,POL,SL,100SL,CCR,SL,100xx117,CCRxxPOL,SLxxSL,142.6,4,33.4,31.7,32.1,32.9,SLxSL,S,L,S,L,POL.L,CCR.L,SxS,LxL,TRUE,TRUE,TRUE
